Waffle Heart, 1276188678, https://www.openstreetmap.org/node/10217257946
Waffle Heart Zemun, 1935210840, https://www.openstreetmap.org/node/12170336065
Wagokoro-Japanese mochi dessert and drinks-, 1047767866, https://www.openstreetmap.org/node/10125744093
Way Cup kafeterija, 166500488, 
Wekker Coffee, 601472373, https://www.openstreetmap.org/node/12297123152
Wiggle, 717839238, https://www.openstreetmap.org/node/11543727758
Wine community bar, 1515548943, 
eklektika 40, 805146112, https://www.openstreetmap.org/node/7197300887
june cafe, 633956720, https://www.openstreetmap.org/node/11535277230
Ćao Šećeru, 1368130260, https://www.openstreetmap.org/node/7212719386
Ćilim bar, 1879443739, https://www.openstreetmap.org/node/11812618099
Šarlo Gastrošor, 1588102272, https://www.openstreetmap.org/node/12619994728
Šećernema - Vegan Desserts & Coffee, 1715565776, 
Šećernema Liman - Vegan Desserts & Coffee, 1686899044, 
Štrik kafe knjižara, 868208366, https://www.openstreetmap.org/node/11804311698, lokacija nije precizna
Џовани Пицерија, 1841286564, https://www.openstreetmap.org/node/9017529996, greska u imenu
Арт вајн, 667614052, 
Бициклана, 1627172095, 
Енвој Хотел, 1891306078, X, skip. wrong category
Жалфија - Žalfija, 360395870, 
Испеци па реци, 2065074710, https://www.openstreetmap.org/node/12683716926
Кафе посластичарница "Фини", 164594745, https://www.openstreetmap.org/node/12686398605
Кафетерија Гардош, 1729934081, https://www.openstreetmap.org/node/4922311321
Кофилин, 1455432273, https://www.openstreetmap.org/node/11953439881
Кућа чаја, 514233972, 
Мимоза, 1688846725, 
Орашац, 2035976021, 
Посластичарница Блаха Лујза, 886651052, 
Силоси, 8311203, https://www.openstreetmap.org/node/10005256611
Ужитак Кафе, 1300590826, 
Фиго, 1820450702, 
Фиго, 1820450702, 
септемБар, 1551651673, https://www.openstreetmap.org/node/12570683123
„Фењер“, 575693025, X, losa lokacija, tesko pogoditi
